time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763368437952261000,153.79126123046876,2.1728209739440763,-0.7113958506826538,-0.2538628990320011,3.0523760813027074,0.5581269084489443,0.3434588192965822,-1.3190593959101649
1763368437962285800,153.80128588867188,2.1918413211349876,-0.7176074873567838,-0.2520227411744254,3.073549214863998,0.5494831062466576,0.34582138008295077,-1.2976840455135912
1763368437972311800,153.81131176757813,2.2163261998006205,-0.7249048778248418,-0.2496821191084948,3.097648790859568,0.5401981291974858,0.346926234072268,-1.2745089995728718
1763368437982336800,153.82133666992186,2.245019413624548,-0.7329780278286556,-0.24694402930123802,3.123113702907327,0.5307408551453896,0.3465198152673312,-1.250635354918236
1763368437992361700,153.83136181640626,2.2754113237010034,-0.7411175024585867,-0.24458788900433684,-3.13372607795486,0.5213286815501814,0.3451635560131988,-1.2272832123995336
1763368438002386700,153.84138671875,2.3046225117850017,-0.7486715567365602,-0.24349600934098978,-3.1063944765097804,0.5118003598481282,0.34389103103510194,-1.2049265221861918
1763368438012412700,153.85141259765626,2.3303983339309173,-0.7552197321844839,-0.24437726323806563,-3.0775639704863478,0.5017719737552017,0.34372645413887704,-1.1833953452046346
1763368438022438000,153.86143798828124,2.3507334662984176,-0.760401753480059,-0.24768507666337775,-3.047185039853238,0.49100223926265835,0.3454822429146583,-1.1626534790949528
1763368438032462800,153.871462890625,2.3603366932370498,-0.7628044509095863,-0.2544489293211891,-3.0165395052216457,0.4799760559130966,0.35072510057453943,-1.1450699592636657
1763368438042487800,153.88148779296876,2.3577156354907625,-0.7638050235680933,-0.2621037576778017,-2.9912569510272413,0.4679249084621285,0.35909602959080517,-1.1268125229421848
1763368438052512800,153.8915126953125,2.3498464920012756,-0.7660503412566961,-0.26734865478820785,-2.9735102281160257,0.4542941082090226,0.3678427942834351,-1.103321067159484
1763368438062538800,153.90153881835937,2.343781054484617,-0.7695753487173577,-0.26794211387899713,-2.967380704843267,0.4436691176502116,0.3729859851726134,-1.0816854165780347
1763368438072564000,153.91156396484374,2.336443890786314,-0.7733102018315645,-0.26290425945025364,-2.979222502640096,0.43919221528623453,0.37414282066353216,-1.0674868759311968
1763368438082588700,153.9215886230469,2.3280410614027414,-0.7759983275800343,-0.25822038433880046,-2.9919140290466313,0.4361904560519665,0.3753487470851976,-1.0568506395391322
1763368438092613600,153.93161352539062,2.328276053815438,-0.7781831218894554,-0.25817075632197467,-2.9875128183813664,0.43088894363278013,0.37697958518015773,-1.0456911401775228
1763368438102638800,153.94163891601562,2.34125418009801,-0.7814964109679572,-0.25820996566079263,-2.9766050992946456,0.42668318936122135,0.374876677254109,-1.036243538524235
1763368438112664600,153.95166455078126,2.3604303705624763,-0.7847695814332742,-0.2567898033985057,-2.9686479460646185,0.4264393293666592,0.36924960194029893,-1.0332200679668058
1763368438122689800,153.96168969726563,2.3744538057605378,-0.7861287429612417,-0.25498613946802196,-2.967130399647946,0.42967008641983057,0.3638231988090685,-1.0374130090995404
1763368438132714800,153.97171484375,2.381379528718142,-0.7850898348625162,-0.2535934896356368,-2.9709409727058245,0.4358864273517311,0.3596209548947342,-1.048779055014672
1763368438142739700,153.98173974609375,2.3862097332972105,-0.7820267289827127,-0.25423140277863493,-2.9725491131657864,0.44360695097573233,0.35638951517793244,-1.0655097663297686
